A00,"Cholera"
S31633,"Puncture wound without foreign body of abdominal wall, right lower quadrant with penetration into peritoneal cavity"
S31634,"Puncture wound without foreign body of abdominal wall, left lower quadrant with penetration into peritoneal cavity"
S31635,"Puncture wound without foreign body of abdominal wall, periumbilic region with penetration into peritoneal cavity"
S31639,"Puncture wound without foreign body of abdominal wall, unspecified quadrant with penetration into peritoneal cavity"
S3164,"Puncture wound with foreign body of abdominal wall with penetration into peritoneal cavity"
S31640,"Puncture wound with foreign body of abdominal wall, right upper quadrant with penetration into peritoneal cavity"
S31641,"Puncture wound with foreign body of abdominal wall, left upper quadrant with penetration into peritoneal cavity"
S31642,"Puncture wound with foreign body of abdominal wall, epigastric region with penetration into peritoneal cavity"
S31643,"Puncture wound with foreign body of abdominal wall, right lower quadrant with penetration into peritoneal cavity"
S31644,"Puncture wound with foreign body of abdominal wall, left lower quadrant with penetration into peritoneal cavity"
S31645,"Puncture wound with foreign body of abdominal wall, periumbilic region with penetration into peritoneal cavity"
S31649,"Puncture wound with foreign body of abdominal wall, unspecified quadrant with penetration into peritoneal cavity"
S3165,"Open bite of abdominal wall with penetration into peritoneal cavity"
S31650,"Open bite of abdominal wall, right upper quadrant with penetration into peritoneal cavity"
S31651,"Open bite of abdominal wall, left upper quadrant with penetration into peritoneal cavity"
S31652,"Open bite of abdominal wall, epigastric region with penetration into peritoneal cavity"
S31653,"Open bite of abdominal wall, right lower quadrant with penetration into peritoneal cavity"
S31654,"Open bite of abdominal wall, left lower quadrant with penetration into peritoneal cavity"
S31655,"Open bite of abdominal wall, periumbilic region with penetration into peritoneal cavity"
S31659,"Open bite of abdominal wall, unspecified quadrant with penetration into peritoneal cavity"
S318,"Open wound of other parts of abdomen, lower back and pelvis"
S3180,"Open wound of unspecified buttock"
S31801,"Laceration without foreign body of unspecified buttock"
S31802,"Laceration with foreign body of unspecified buttock"
S31803,"Puncture wound without foreign body of unspecified buttock"
S31804,"Puncture wound with foreign body of unspecified buttock"
S31805,"Open bite of unspecified buttock"
S31809,"Unspecified open wound of unspecified buttock"
S3181,"Open wound of right buttock"
S31811,"Laceration without foreign body of right buttock"
S31812,"Laceration with foreign body of right buttock"
S31813,"Puncture wound without foreign body of right buttock"
S31814,"Puncture wound with foreign body of right buttock"
S31815,"Open bite of right buttock"
S31819,"Unspecified open wound of right buttock"
S3182,"Open wound of left buttock"
S31821,"Laceration without foreign body of left buttock"
S31822,"Laceration with foreign body of left buttock"
S31823,"Puncture wound without foreign body of left buttock"
S31824,"Puncture wound with foreign body of left buttock"
S31825,"Open bite of left buttock"
S31829,"Unspecified open wound of left buttock"
S3183,"Open wound of anus"
S31831,"Laceration without foreign body of anus"
S31832,"Laceration with foreign body of anus"
S31833,"Puncture wound without foreign body of anus"
S31834,"Puncture wound with foreign body of anus"
S31835,"Open bite of anus"
S31839,"Unspecified open wound of anus"
S32,"Fracture of lumbar spine and pelvis"
S320,"Fracture of lumbar vertebra"
S3200,"Fracture of unspecified lumbar vertebra"
S32000,"Wedge compression fracture of unspecified lumbar vertebra"
S32001,"Stable burst fracture of unspecified lumbar vertebra"
S32002,"Unstable burst fracture of unspecified lumbar vertebra"
S32008,"Other fracture of unspecified lumbar vertebra"
S32009,"Unspecified fracture of unspecified lumbar vertebra"
S3201,"Fracture of first lumbar vertebra"
S32010,"Wedge compression fracture of first lumbar vertebra"
S32011,"Stable burst fracture of first lumbar vertebra"
S32012,"Unstable burst fracture of first lumbar vertebra"
S32018,"Other fracture of first lumbar vertebra"
S32019,"Unspecified fracture of first lumbar vertebra"
S3202,"Fracture of second lumbar vertebra"
S32020,"Wedge compression fracture of second lumbar vertebra"
S32021,"Stable burst fracture of second lumbar vertebra"
S32022,"Unstable burst fracture of second lumbar vertebra"
S32028,"Other fracture of second lumbar vertebra"
S32029,"Unspecified fracture of second lumbar vertebra"
S3203,"Fracture of third lumbar vertebra"
S32030,"Wedge compression fracture of third lumbar vertebra"
S32031,"Stable burst fracture of third lumbar vertebra"
S32032,"Unstable burst fracture of third lumbar vertebra"
S32038,"Other fracture of third lumbar vertebra"
S32039,"Unspecified fracture of third lumbar vertebra"
S3204,"Fracture of fourth lumbar vertebra"
S32040,"Wedge compression fracture of fourth lumbar vertebra"
S32041,"Stable burst fracture of fourth lumbar vertebra"
S32042,"Unstable burst fracture of fourth lumbar vertebra"
S32048,"Other fracture of fourth lumbar vertebra"
S32049,"Unspecified fracture of fourth lumbar vertebra"
S3205,"Fracture of fifth lumbar vertebra"
S32050,"Wedge compression fracture of fifth lumbar vertebra"
S32051,"Stable burst fracture of fifth lumbar vertebra"
S32052,"Unstable burst fracture of fifth lumbar vertebra"
S32058,"Other fracture of fifth lumbar vertebra"
S32059,"Unspecified fracture of fifth lumbar vertebra"
S321,"Fracture of sacrum"
S3210,"Unspecified fracture of sacrum"
S3211,"Zone I fracture of sacrum"
S32110,"Nondisplaced Zone I fracture of sacrum"
S32111,"Minimally displaced Zone I fracture of sacrum"
S32112,"Severely displaced Zone I fracture of sacrum"
S32119,"Unspecified Zone I fracture of sacrum"
S3212,"Zone II fracture of sacrum"
S32120,"Nondisplaced Zone II fracture of sacrum"
S32121,"Minimally displaced Zone II fracture of sacrum"
S32122,"Severely displaced Zone II fracture of sacrum"
S32129,"Unspecified Zone II fracture of sacrum"
S3213,"Zone III fracture of sacrum"
S32130,"Nondisplaced Zone III fracture of sacrum"
S32131,"Minimally displaced Zone III fracture of sacrum"
S32132,"Severely displaced Zone III fracture of sacrum"
S32139,"Unspecified Zone III fracture of sacrum"
S3214,"Type 1 fracture of sacrum"
S3215,"Type 2 fracture of sacrum"
S3216,"Type 3 fracture of sacrum"
S3217,"Type 4 fracture of sacrum"
S3219,"Other fracture of sacrum"
S322,"Fracture of coccyx"
S323,"Fracture of ilium"
S3230,"Unspecified fracture of ilium"
S32301,"Unspecified fracture of right ilium"
S32302,"Unspecified fracture of left ilium"
S32309,"Unspecified fracture of unspecified ilium"
S3231,"Avulsion fracture of ilium"
S32311,"Displaced avulsion fracture of right ilium"
S32312,"Displaced avulsion fracture of left ilium"
S32313,"Displaced avulsion fracture of unspecified ilium"
S32314,"Nondisplaced avulsion fracture of right ilium"
S32315,"Nondisplaced avulsion fracture of left ilium"
S32316,"Nondisplaced avulsion fracture of unspecified ilium"
S3239,"Other fracture of ilium"
S32391,"Other fracture of right ilium"
S32392,"Other fracture of left ilium"
S32399,"Other fracture of unspecified ilium"
S324,"Fracture of acetabulum"
S3240,"Unspecified fracture of acetabulum"
S32401,"Unspecified fracture of right acetabulum"
S32402,"Unspecified fracture of left acetabulum"
S32409,"Unspecified fracture of unspecified acetabulum"
S3241,"Fracture of anterior wall of acetabulum"
S32411,"Displaced fracture of anterior wall of right acetabulum"
S32412,"Displaced fracture of anterior wall of left acetabulum"
S32413,"Displaced fracture of anterior wall of unspecified acetabulum"
S32414,"Nondisplaced fracture of anterior wall of right acetabulum"
S32415,"Nondisplaced fracture of anterior wall of left acetabulum"
S32416,"Nondisplaced fracture of anterior wall of unspecified acetabulum"
S3242,"Fracture of posterior wall of acetabulum"
S32421,"Displaced fracture of posterior wall of right acetabulum"
S32422,"Displaced fracture of posterior wall of left acetabulum"
S32423,"Displaced fracture of posterior wall of unspecified acetabulum"
S32424,"Nondisplaced fracture of posterior wall of right acetabulum"
S32425,"Nondisplaced fracture of posterior wall of left acetabulum"
S32426,"Nondisplaced fracture of posterior wall of unspecified acetabulum"
S3243,"Fracture of anterior column [iliopubic] of acetabulum"
S32431,"Displaced fracture of anterior column [iliopubic] of right acetabulum"
S32432,"Displaced fracture of anterior column [iliopubic] of left acetabulum"
S32433,"Displaced fracture of anterior column [iliopubic] of unspecified acetabulum"
S32434,"Nondisplaced fracture of anterior column [iliopubic] of right acetabulum"
S32435,"Nondisplaced fracture of anterior column [iliopubic] of left acetabulum"
S32436,"Nondisplaced fracture of anterior column [iliopubic] of unspecified acetabulum"
S3244,"Fracture of posterior column [ilioischial] of acetabulum"
S32441,"Displaced fracture of posterior column [ilioischial] of right acetabulum"
S32442,"Displaced fracture of posterior column [ilioischial] of left acetabulum"
S32443,"Displaced fracture of posterior column [ilioischial] of unspecified acetabulum"
S32444,"Nondisplaced fracture of posterior column [ilioischial] of right acetabulum"
S32445,"Nondisplaced fracture of posterior column [ilioischial] of left acetabulum"
S32446,"Nondisplaced fracture of posterior column [ilioischial] of unspecified acetabulum"
S3245,"Transverse fracture of acetabulum"
S32451,"Displaced transverse fracture of right acetabulum"
S32452,"Displaced transverse fracture of left acetabulum"
S32453,"Displaced transverse fracture of unspecified acetabulum"
S32454,"Nondisplaced transverse fracture of right acetabulum"
S32455,"Nondisplaced transverse fracture of left acetabulum"
S32456,"Nondisplaced transverse fracture of unspecified acetabulum"
S3246,"Associated transverse-posterior fracture of acetabulum"
S32461,"Displaced associated transverse-posterior fracture of right acetabulum"
S32462,"Displaced associated transverse-posterior fracture of left acetabulum"
S32463,"Displaced associated transverse-posterior fracture of unspecified acetabulum"
S32464,"Nondisplaced associated transverse-posterior fracture of right acetabulum"
S32465,"Nondisplaced associated transverse-posterior fracture of left acetabulum"
S32466,"Nondisplaced associated transverse-posterior fracture of unspecified acetabulum"
S3247,"Fracture of medial wall of acetabulum"
S32471,"Displaced fracture of medial wall of right acetabulum"
S32472,"Displaced fracture of medial wall of left acetabulum"
S32473,"Displaced fracture of medial wall of unspecified acetabulum"
S32474,"Nondisplaced fracture of medial wall of right acetabulum"
S32475,"Nondisplaced fracture of medial wall of left acetabulum"
S32476,"Nondisplaced fracture of medial wall of unspecified acetabulum"
S3248,"Dome fracture of acetabulum"
S32481,"Displaced dome fracture of right acetabulum"
S32482,"Displaced dome fracture of left acetabulum"
S32483,"Displaced dome fracture of unspecified acetabulum"
S32484,"Nondisplaced dome fracture of right acetabulum"
S32485,"Nondisplaced dome fracture of left acetabulum"
S32486,"Nondisplaced dome fracture of unspecified acetabulum"
S3249,"Other specified fracture of acetabulum"
S32491,"Other specified fracture of right acetabulum"
S32492,"Other specified fracture of left acetabulum"
S32499,"Other specified fracture of unspecified acetabulum"
S325,"Fracture of pubis"
S3250,"Unspecified fracture of pubis"
S32501,"Unspecified fracture of right pubis"
S32502,"Unspecified fracture of left pubis"
S32509,"Unspecified fracture of unspecified pubis"
S3251,"Fracture of superior rim of pubis"
S32511,"Fracture of superior rim of right pubis"
S32512,"Fracture of superior rim of left pubis"
S32519,"Fracture of superior rim of unspecified pubis"
S3259,"Other specified fracture of pubis"
S32591,"Other specified fracture of right pubis"
S32592,"Other specified fracture of left pubis"
S32599,"Other specified fracture of unspecified pubis"
S326,"Fracture of ischium"
S3260,"Unspecified fracture of ischium"
S32601,"Unspecified fracture of right ischium"
S32602,"Unspecified fracture of left ischium"
S32609,"Unspecified fracture of unspecified ischium"
S3261,"Avulsion fracture of ischium"
S32611,"Displaced avulsion fracture of right ischium"
S32612,"Displaced avulsion fracture of left ischium"
S32613,"Displaced avulsion fracture of unspecified ischium"
S32614,"Nondisplaced avulsion fracture of right ischium"
S32615,"Nondisplaced avulsion fracture of left ischium"
S32616,"Nondisplaced avulsion fracture of unspecified ischium"
S3269,"Other specified fracture of ischium"
S32691,"Other specified fracture of right ischium"
S32692,"Other specified fracture of left ischium"
S32699,"Other specified fracture of unspecified ischium"
S328,"Fracture of other parts of pelvis"
S3281,"Multiple fractures of pelvis with disruption of pelvic ring"
S32810,"Multiple fractures of pelvis with stable disruption of pelvic ring"
S32811,"Multiple fractures of pelvis with unstable disruption of pelvic ring"
S3282,"Multiple fractures of pelvis without disruption of pelvic ring"
S3289,"Fracture of other parts of pelvis"
S329,"Fracture of unspecified parts of lumbosacral spine and pelvis"
S33,"Dislocation and sprain of joints and ligaments of lumbar spine and pelvis"
S330,"Traumatic rupture of lumbar intervertebral disc"
S331,"Subluxation and dislocation of lumbar vertebra"
S3310,"Subluxation and dislocation of unspecified lumbar vertebra"
S33100,"Subluxation of unspecified lumbar vertebra"
S33101,"Dislocation of unspecified lumbar vertebra"
S3311,"Subluxation and dislocation of L1/L2 lumbar vertebra"
S33110,"Subluxation of L1/L2 lumbar vertebra"
S33111,"Dislocation of L1/L2 lumbar vertebra"
S3312,"Subluxation and dislocation of L2/L3 lumbar vertebra"
S33120,"Subluxation of L2/L3 lumbar vertebra"
S33121,"Dislocation of L2/L3 lumbar vertebra"
S3313,"Subluxation and dislocation of L3/L4 lumbar vertebra"
S33130,"Subluxation of L3/L4 lumbar vertebra"
S33131,"Dislocation of L3/L4 lumbar vertebra"
S3314,"Subluxation and dislocation of L4/L5 lumbar vertebra"
S33140,"Subluxation of L4/L5 lumbar vertebra"
S33141,"Dislocation of L4/L5 lumbar vertebra"
S332,"Dislocation of sacroiliac and sacrococcygeal joint"
S333,"Dislocation of other and unspecified parts of lumbar spine and pelvis"
S3330,"Dislocation of unspecified parts of lumbar spine and pelvis"
S3339,"Dislocation of other parts of lumbar spine and pelvis"
S334,"Traumatic rupture of symphysis pubis"
S335,"Sprain of ligaments of lumbar spine"
S336,"Sprain of sacroiliac joint"
S338,"Sprain of other parts of lumbar spine and pelvis"
S339,"Sprain of unspecified parts of lumbar spine and pelvis"
S34,"Injury of lumbar and sacral spinal cord and nerves at abdomen, lower back and pelvis level"
S340,"Concussion and edema of lumbar and sacral spinal cord"
S3401,"Concussion and edema of lumbar spinal cord"
S3402,"Concussion and edema of sacral spinal cord"
S341,"Other and unspecified injury of lumbar and sacral spinal cord"
S3410,"Unspecified injury to lumbar spinal cord"
S34101,"Unspecified injury to L1 level of lumbar spinal cord"
S34102,"Unspecified injury to L2 level of lumbar spinal cord"
S34103,"Unspecified injury to L3 level of lumbar spinal cord"
S34104,"Unspecified injury to L4 level of lumbar spinal cord"
S34105,"Unspecified injury to L5 level of lumbar spinal cord"
S34109,"Unspecified injury to unspecified level of lumbar spinal cord"
S3411,"Complete lesion of lumbar spinal cord"
S34111,"Complete lesion of L1 level of lumbar spinal cord"
S34112,"Complete lesion of L2 level of lumbar spinal cord"
S34113,"Complete lesion of L3 level of lumbar spinal cord"
S34114,"Complete lesion of L4 level of lumbar spinal cord"
S34115,"Complete lesion of L5 level of lumbar spinal cord"
S34119,"Complete lesion of unspecified level of lumbar spinal cord"
S3412,"Incomplete lesion of lumbar spinal cord"
S34121,"Incomplete lesion of L1 level of lumbar spinal cord"
S34122,"Incomplete lesion of L2 level of lumbar spinal cord"
S34123,"Incomplete lesion of L3 level of lumbar spinal cord"
S34124,"Incomplete lesion of L4 level of lumbar spinal cord"
S34125,"Incomplete lesion of L5 level of lumbar spinal cord"
S34129,"Incomplete lesion of unspecified level of lumbar spinal cord"
S3413,"Other and unspecified injury to sacral spinal cord"
S34131,"Complete lesion of sacral spinal cord"
S34132,"Incomplete lesion of sacral spinal cord"
S34139,"Unspecified injury to sacral spinal cord"
S342,"Injury of nerve root of lumbar and sacral spine"
S3421,"Injury of nerve root of lumbar spine"
S3422,"Injury of nerve root of sacral spine"
S343,"Injury of cauda equina"
S344,"Injury of lumbosacral plexus"
S345,"Injury of lumbar, sacral and pelvic sympathetic nerves"
S346,"Injury of peripheral nerve(s) at abdomen, lower back and pelvis level"
S348,"Injury of other nerves at abdomen, lower back and pelvis level"
S349,"Injury of unspecified nerves at abdomen, lower back and pelvis level"
S35,"Injury of blood vessels at abdomen, lower back and pelvis level"
S350,"Injury of abdominal aorta"
S3500,"Unspecified injury of abdominal aorta"
S3501,"Minor laceration of abdominal aorta"
S3502,"Major laceration of abdominal aorta"
S3509,"Other injury of abdominal aorta"
S351,"Injury of inferior vena cava"
S3510,"Unspecified injury of inferior vena cava"
S3511,"Minor laceration of inferior vena cava"
S3512,"Major laceration of inferior vena cava"
S3519,"Other injury of inferior vena cava"
S352,"Injury of celiac or mesenteric artery and branches"
S3521,"Injury of celiac artery"
S35211,"Minor laceration of celiac artery"
S35212,"Major laceration of celiac artery"
S35218,"Other injury of celiac artery"
S35219,"Unspecified injury of celiac artery"
S3522,"Injury of superior mesenteric artery"
S35221,"Minor laceration of superior mesenteric artery"
S35222,"Major laceration of superior mesenteric artery"
S35228,"Other injury of superior mesenteric artery"
S35229,"Unspecified injury of superior mesenteric artery"
S3523,"Injury of inferior mesenteric artery"
S35231,"Minor laceration of inferior mesenteric artery"
S35232,"Major laceration of inferior mesenteric artery"
S35238,"Other injury of inferior mesenteric artery"
S35239,"Unspecified injury of inferior mesenteric artery"
S3529,"Injury of branches of celiac and mesenteric artery"
S35291,"Minor laceration of branches of celiac and mesenteric artery"
S35292,"Major laceration of branches of celiac and mesenteric artery"
S35298,"Other injury of branches of celiac and mesenteric artery"
S35299,"Unspecified injury of branches of celiac and mesenteric artery"
S353,"Injury of portal or splenic vein and branches"
S3531,"Injury of portal vein"
S35311,"Laceration of portal vein"
S35318,"Other specified injury of portal vein"
S35319,"Unspecified injury of portal vein"
S3532,"Injury of splenic vein"
S35321,"Laceration of splenic vein"
S35328,"Other specified injury of splenic vein"
S35329,"Unspecified injury of splenic vein"
S3533,"Injury of superior mesenteric vein"
S35331,"Laceration of superior mesenteric vein"
S35338,"Other specified injury of superior mesenteric vein"
S35339,"Unspecified injury of superior mesenteric vein"
S3534,"Injury of inferior mesenteric vein"
S35341,"Laceration of inferior mesenteric vein"
S35348,"Other specified injury of inferior mesenteric vein"
S35349,"Unspecified injury of inferior mesenteric vein"
S354,"Injury of renal blood vessels"
S3540,"Unspecified injury of renal blood vessel"
S35401,"Unspecified injury of right renal artery"
S35402,"Unspecified injury of left renal artery"
S35403,"Unspecified injury of unspecified renal artery"
S35404,"Unspecified injury of right renal vein"
S35405,"Unspecified injury of left renal vein"
S35406,"Unspecified injury of unspecified renal vein"
S3541,"Laceration of renal blood vessel"
S35411,"Laceration of right renal artery"
S35412,"Laceration of left renal artery"
S35413,"Laceration of unspecified renal artery"
S35414,"Laceration of right renal vein"
S35415,"Laceration of left renal vein"
S35416,"Laceration of unspecified renal vein"
S3549,"Other specified injury of renal blood vessel"
S35491,"Other specified injury of right renal artery"
S35492,"Other specified injury of left renal artery"
S35493,"Other specified injury of unspecified renal artery"
S35494,"Other specified injury of right renal vein"
S35495,"Other specified injury of left renal vein"
S35496,"Other specified injury of unspecified renal vein"
S355,"Injury of iliac blood vessels"
S3550,"Injury of unspecified iliac blood vessel(s)"
S3551,"Injury of iliac artery or vein"
S35511,"Injury of right iliac artery"
S35512,"Injury of left iliac artery"
S35513,"Injury of unspecified iliac artery"
S35514,"Injury of right iliac vein"
S35515,"Injury of left iliac vein"
S35516,"Injury of unspecified iliac vein"
S3553,"Injury of uterine artery or vein"
S35531,"Injury of right uterine artery"
S35532,"Injury of left uterine artery"
S35533,"Injury of unspecified uterine artery"
S35534,"Injury of right uterine vein"
S35535,"Injury of left uterine vein"
S35536,"Injury of unspecified uterine vein"
S3559,"Injury of other iliac blood vessels"
S358,"Injury of other blood vessels at abdomen, lower back and pelvis level"
S358X,"Injury of other blood vessels at abdomen, lower back and pelvis level"
S358X1,"Laceration of other blood vessels at abdomen, lower back and pelvis level"
S358X8,"Other specified injury of other blood vessels at abdomen, lower back and pelvis level"
S358X9,"Unspecified injury of other blood vessels at abdomen, lower back and pelvis level"
S359,"Injury of unspecified blood vessel at abdomen, lower back and pelvis level"
S3590,"Unspecified injury of unspecified blood vessel at abdomen, lower back and pelvis level"
S3591,"Laceration of unspecified blood vessel at abdomen, lower back and pelvis level"
S3599,"Other specified injury of unspecified blood vessel at abdomen, lower back and pelvis level"
S36,"Injury of intra-abdominal organs"
S360,"Injury of spleen"
S3600,"Unspecified injury of spleen"
S3602,"Contusion of spleen"
S36020,"Minor contusion of spleen"
S36021,"Major contusion of spleen"
S36029,"Unspecified contusion of spleen"
S3603,"Laceration of spleen"
S36030,"Superficial (capsular) laceration of spleen"
S36031,"Moderate laceration of spleen"
S36032,"Major laceration of spleen"
S36039,"Unspecified laceration of spleen"
S3609,"Other injury of spleen"
S361,"Injury of liver and gallbladder and bile duct"
S3611,"Injury of liver"
S36112,"Contusion of liver"
S36113,"Laceration of liver, unspecified degree"
S36114,"Minor laceration of liver"
S36115,"Moderate laceration of liver"
S36116,"Major laceration of liver"
S36118,"Other injury of liver"
S36119,"Unspecified injury of liver"
S3612,"Injury of gallbladder"
S36122,"Contusion of gallbladder"
S36123,"Laceration of gallbladder"
S36128,"Other injury of gallbladder"
S36129,"Unspecified injury of gallbladder"
S3613,"Injury of bile duct"
S362,"Injury of pancreas"
S3620,"Unspecified injury of pancreas"
S36200,"Unspecified injury of head of pancreas"
S36201,"Unspecified injury of body of pancreas"
S36202,"Unspecified injury of tail of pancreas"
S36209,"Unspecified injury of unspecified part of pancreas"
S3622,"Contusion of pancreas"
S36220,"Contusion of head of pancreas"
S36221,"Contusion of body of pancreas"
S36222,"Contusion of tail of pancreas"
S36229,"Contusion of unspecified part of pancreas"
S3623,"Laceration of pancreas, unspecified degree"
S36230,"Laceration of head of pancreas, unspecified degree"
S36231,"Laceration of body of pancreas, unspecified degree"
S36232,"Laceration of tail of pancreas, unspecified degree"
S36239,"Laceration of unspecified part of pancreas, unspecified degree"
S3624,"Minor laceration of pancreas"
S36240,"Minor laceration of head of pancreas"
S36241,"Minor laceration of body of pancreas"
S36242,"Minor laceration of tail of pancreas"
S36249,"Minor laceration of unspecified part of pancreas"
S3625,"Moderate laceration of pancreas"
S36250,"Moderate laceration of head of pancreas"
S36251,"Moderate laceration of body of pancreas"
S36252,"Moderate laceration of tail of pancreas"
S36259,"Moderate laceration of unspecified part of pancreas"
S3626,"Major laceration of pancreas"
S36260,"Major laceration of head of pancreas"
S36261,"Major laceration of body of pancreas"
S36262,"Major laceration of tail of pancreas"
S36269,"Major laceration of unspecified part of pancreas"
S3629,"Other injury of pancreas"
S36290,"Other injury of head of pancreas"
S36291,"Other injury of body of pancreas"
S36292,"Other injury of tail of pancreas"
S36299,"Other injury of unspecified part of pancreas"
S363,"Injury of stomach"
S3630,"Unspecified injury of stomach"
S3632,"Contusion of stomach"
S3633,"Laceration of stomach"
S3639,"Other injury of stomach"
S364,"Injury of small intestine"
S3640,"Unspecified injury of small intestine"
S36400,"Unspecified injury of duodenum"
S36408,"Unspecified injury of other part of small intestine"
S36409,"Unspecified injury of unspecified part of small intestine"
S3641,"Primary blast injury of small intestine"
S36410,"Primary blast injury of duodenum"
S36418,"Primary blast injury of other part of small intestine"
S36419,"Primary blast injury of unspecified part of small intestine"
S3642,"Contusion of small intestine"
S36420,"Contusion of duodenum"
S36428,"Contusion of other part of small intestine"
S36429,"Contusion of unspecified part of small intestine"
S3643,"Laceration of small intestine"
S36430,"Laceration of duodenum"
S36438,"Laceration of other part of small intestine"
S36439,"Laceration of unspecified part of small intestine"
S3649,"Other injury of small intestine"
S36490,"Other injury of duodenum"
S36498,"Other injury of other part of small intestine"
S36499,"Other injury of unspecified part of small intestine"
S365,"Injury of colon"
S3650,"Unspecified injury of colon"
S36500,"Unspecified injury of ascending [right] colon"
S36501,"Unspecified injury of transverse colon"
S36502,"Unspecified injury of descending [left] colon"
S36503,"Unspecified injury of sigmoid colon"
S36508,"Unspecified injury of other part of colon"
S36509,"Unspecified injury of unspecified part of colon"
S3651,"Primary blast injury of colon"
S36510,"Primary blast injury of ascending [right] colon"
S36511,"Primary blast injury of transverse colon"
S36512,"Primary blast injury of descending [left] colon"
S36513,"Primary blast injury of sigmoid colon"
S36518,"Primary blast injury of other part of colon"
S36519,"Primary blast injury of unspecified part of colon"
S3652,"Contusion of colon"
S36520,"Contusion of ascending [right] colon"
S36521,"Contusion of transverse colon"
S36522,"Contusion of descending [left] colon"
S36523,"Contusion of sigmoid colon"
S36528,"Contusion of other part of colon"
S36529,"Contusion of unspecified part of colon"
S3653,"Laceration of colon"
S36530,"Laceration of ascending [right] colon"
S36531,"Laceration of transverse colon"
S36532,"Laceration of descending [left] colon"
S36533,"Laceration of sigmoid colon"
S36538,"Laceration of other part of colon"
S36539,"Laceration of unspecified part of colon"
S3659,"Other injury of colon"
S36590,"Other injury of ascending [right] colon"
S36591,"Other injury of transverse colon"
S36592,"Other injury of descending [left] colon"
S36593,"Other injury of sigmoid colon"
S36598,"Other injury of other part of colon"
S36599,"Other injury of unspecified part of colon"
S366,"Injury of rectum"
S3660,"Unspecified injury of rectum"
S3661,"Primary blast injury of rectum"
S3662,"Contusion of rectum"
S3663,"Laceration of rectum"
S3669,"Other injury of rectum"
S368,"Injury of other intra-abdominal organs"
S3681,"Injury of peritoneum"
S3689,"Injury of other intra-abdominal organs"
S36892,"Contusion of other intra-abdominal organs"
S36893,"Laceration of other intra-abdominal organs"
S36898,"Other injury of other intra-abdominal organs"
S36899,"Unspecified injury of other intra-abdominal organs"
S369,"Injury of unspecified intra-abdominal organ"
S3690,"Unspecified injury of unspecified intra-abdominal organ"
S3692,"Contusion of unspecified intra-abdominal organ"
S3693,"Laceration of unspecified intra-abdominal organ"
S3699,"Other injury of unspecified intra-abdominal organ"
S37,"Injury of urinary and pelvic organs"
S370,"Injury of kidney"
S3700,"Unspecified injury of kidney"
S37001,"Unspecified injury of right kidney"
S37002,"Unspecified injury of left kidney"
S37009,"Unspecified injury of unspecified kidney"
S3701,"Minor contusion of kidney"
S37011,"Minor contusion of right kidney"
S37012,"Minor contusion of left kidney"
S37019,"Minor contusion of unspecified kidney"
S3702,"Major contusion of kidney"
S37021,"Major contusion of right kidney"
S37022,"Major contusion of left kidney"
S37029,"Major contusion of unspecified kidney"
S3703,"Laceration of kidney, unspecified degree"
S37031,"Laceration of right kidney, unspecified degree"
S37032,"Laceration of left kidney, unspecified degree"
S37039,"Laceration of unspecified kidney, unspecified degree"
S3704,"Minor laceration of kidney"
S37041,"Minor laceration of right kidney"
S37042,"Minor laceration of left kidney"
S37049,"Minor laceration of unspecified kidney"
S3705,"Moderate laceration of kidney"
S37051,"Moderate laceration of right kidney"
S37052,"Moderate laceration of left kidney"
S37059,"Moderate laceration of unspecified kidney"
S3706,"Major laceration of kidney"
S37061,"Major laceration of right kidney"
S37062,"Major laceration of left kidney"
S37069,"Major laceration of unspecified kidney"
S3709,"Other injury of kidney"
S37091,"Other injury of right kidney"
S37092,"Other injury of left kidney"
S37099,"Other injury of unspecified kidney"
S371,"Injury of ureter"
S3710,"Unspecified injury of ureter"
S3712,"Contusion of ureter"
S3713,"Laceration of ureter"
S3719,"Other injury of ureter"
S372,"Injury of bladder"
S3720,"Unspecified injury of bladder"
S3722,"Contusion of bladder"
S3723,"Laceration of bladder"
S3729,"Other injury of bladder"
S373,"Injury of urethra"
S3730,"Unspecified injury of urethra"
S3732,"Contusion of urethra"
S3733,"Laceration of urethra"
S3739,"Other injury of urethra"
S374,"Injury of ovary"
S3740,"Unspecified injury of ovary"
S37401,"Unspecified injury of ovary, unilateral"
S37402,"Unspecified injury of ovary, bilateral"
S37409,"Unspecified injury of ovary, unspecified"
S3742,"Contusion of ovary"
S37421,"Contusion of ovary, unilateral"
S37422,"Contusion of ovary, bilateral"
S37429,"Contusion of ovary, unspecified"
S3743,"Laceration of ovary"
S37431,"Laceration of ovary, unilateral"
S37432,"Laceration of ovary, bilateral"
S37439,"Laceration of ovary, unspecified"
S3749,"Other injury of ovary"
S37491,"Other injury of ovary, unilateral"
S37492,"Other injury of ovary, bilateral"
S37499,"Other injury of ovary, unspecified"
S375,"Injury of fallopian tube"
S3750,"Unspecified injury of fallopian tube"
S37501,"Unspecified injury of fallopian tube, unilateral"
S37502,"Unspecified injury of fallopian tube, bilateral"
S37509,"Unspecified injury of fallopian tube, unspecified"
S3751,"Primary blast injury of fallopian tube"
S37511,"Primary blast injury of fallopian tube, unilateral"
S37512,"Primary blast injury of fallopian tube, bilateral"
S37519,"Primary blast injury of fallopian tube, unspecified"
S3752,"Contusion of fallopian tube"
